Symbol,GeneID,Alias,Description,12,1,2,3,4,5,6,7,8,9,10,11
ABAT,18,GABA-AT|GABAT|NPD009,4-aminobutyrate aminotransferase,10.02095362,9.429894058,8.944900021,9.533336923,9.645256877,9.612603759,9.371717047,9.948521019,9.837478922,10.04422066,9.856693096,9.705278055
ABI3,51225,NESH|SSH3BP3,"ABI family, member 3",4.993661926,4.467175074,5.228692987,2.087287517,3.275441453,4.260087344,1.691298914,4.197749626,4.391774287,5.097201956,5.554130326,5.070810369
ABL1,25,ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl,"ABL proto-oncogene 1, non-receptor tyrosine kinase",8.315590021,8.22533029,8.279319061,8.259715025,8.297809266,8.194199409,8.376865356,8.355290903,8.290627563,8.267126958,7.951020479,8.160565022
ACAA1,30,ACAA|PTHIO|THIO,acetyl-CoA acyltransferase 1,7.578624426,7.576979083,7.295807183,7.150682598,7.040976199,6.7836493,6.855870681,7.005104548,6.996636345,7.279405287,7.347679449,7.210085158
ACHE,43,ACEE|ARACHE|N-ACHE|YT,acetylcholinesterase (Yt blood group),6.283168543,6.100392743,5.69435656,4.153376707,3.860403954,5.125157764,4.088189067,4.819238002,5.0547393,7.254743233,7.073504485,5.927446194
ACIN1,22985,ACINUS|ACN|fSAP152,apoptotic chromatin condensation inducer 1,8.531096056,8.880371227,8.473000185,9.636590885,9.417037731,9.225871629,9.629506279,9.386053156,9.417836583,8.682164457,9.022279162,8.709979944
ACTN1,87,BDPLT15,"actinin, alpha 1",8.154653802,8.210017235,8.262640319,7.705673019,7.545970395,6.681551113,7.284254206,7.8810142,8.224664301,6.856193857,5.817164732,7.97509917
ACVRL1,94,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I,activin A receptor type II-like 1,3.993661926,3.376027186,4.643730487,0.087287517,1.538475859,2.774660517,1.59176324,3.30466483,4.507251504,5.097201956,4.969167825,3.861357004
ADAM10,102,AD10|AD18|CD156c|HsT18717|MADM|RAK|kuz,ADAM metallopeptidase domain 10,7.378325776,7.570141653,7.15830366,7.070281091,7.191918097,7.719518963,7.943018007,8.183810435,8.216202722,7.56668724,7.29109592,7.636144063
ADCY5,111,AC5|FDFM,adenylate cyclase 5,6.109139143,5.580385685,5.790571875,4.087287517,4.201440871,5.774660517,4.013227009,5.404200503,5.128739881,7.56668724,7.29109592,6.27074794
ADCY8,114,AC8|ADCY3|HBAC1,adenylate cyclase 8 (brain),6.216054347,6.429894058,6.69435656,4.479604939,4.653953076,5.561256879,4.703271556,5.25219741,5.330373742,6.981724739,6.817164732,6.547857531
ADCY9,115,AC9,adenylate cyclase 9,6.496162266,6.524890572,6.451085409,5.828754503,5.445366454,6.180652877,5.778761755,5.451506218,5.391774287,6.526045255,6.776522747,6.27074794
