Symbol	GeneID	Alias	Description	20220223_30102442270621-01_Sample12_12.RCC	20220223_30102442270621-01_Sample01_01.RCC	20220223_30102442270621-01_Sample02_02.RCC	20220223_30102442270621-01_Sample03_03.RCC	20220223_30102442270621-01_Sample04_04.RCC	20220223_30102442270621-01_Sample05_05.RCC	20220223_30102442270621-01_Sample06_06.RCC	20220223_30102442270621-01_Sample07_07.RCC	20220223_30102442270621-01_Sample08_08.RCC	20220223_30102442270621-01_Sample09_09.RCC	20220223_30102442270621-01_Sample10_10.RCC	20220223_30102442270621-01_Sample11_11.RCC
ABAT	18	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase	10.0209536173505	9.42989405801424	8.94490002144991	9.53333692340148	9.64525687710668	9.61260375896325	9.37171704675221	9.9485210193099	9.83747892241038	10.0442206645852	9.85669309610307	9.705278054929
ABI3	51225	NESH|SSH3BP3	ABI family, member 3	4.9936619256828	4.4671750740937	5.2286929874505	2.08728751668493	3.27544145282276	4.26008734424247	1.69129891402718	4.19774962561866	4.3917742868846	5.09720195627142	5.55413032608264	5.07081036926892
ABL1	25	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	8.31559002057016	8.22533029009108	8.27931906052047	8.25971502533042	8.29780926585122	8.19419940858601	8.37686535568674	8.35529090260514	8.29062756342769	8.26712695771373	7.95102047865122	8.16056502202725
ACAA1	30	ACAA|PTHIO|THIO	acetyl-CoA acyltransferase 1	7.57862442640395	7.57697908309845	7.29580718330904	7.15068259797344	7.04097619918574	6.78364930029948	6.85587068097528	7.00510454767626	6.99663634504346	7.27940528749217	7.34767944861521	7.21008515787104
ACHE	43	ACEE|ARACHE|N-ACHE|YT	acetylcholinesterase (Yt blood group)	6.28316854287778	6.10039274342208	5.69435655979931	4.15337670714271	3.86040395354392	5.12515776415636	4.08818906659576	4.81923800236493	5.05473929960702	7.2547432332579	7.07350448517622	5.92744619409774
ACIN1	22985	ACINUS|ACN|fSAP152	apoptotic chromatin condensation inducer 1	8.53109605632137	8.88037122654838	8.47300018521539	9.63659088519851	9.41703773120658	9.22587162890455	9.62950627939164	9.38605315637583	9.41783658347079	8.68216445699257	9.02227916182105	8.70997994406931
ACTN1	87	BDPLT15	actinin, alpha 1	8.1546538023551	8.21001723459658	8.26264031937384	7.70567301894354	7.54597039520348	6.68155111268074	7.28425420550187	7.88101419995162	8.22466430104934	6.85619385676762	5.81716473191643	7.97509916968916
ACVRL1	94	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	activin A receptor type II-like 1	3.9936619256828	3.37602718603551	4.64373048672934	0.087287516684933	1.53847585865656	2.77466051707223	1.59176324047627	3.30466482953517	4.50725150430453	5.09720195627142	4.96916782536148	3.86135700363997
ADAM10	102	AD10|AD18|CD156c|HsT18717|MADM|RAK|kuz	ADAM metallopeptidase domain 10	7.37832577591812	7.57014165304489	7.1583036595591	7.07028109137924	7.19191809726048	7.71951896287977	7.94301800663314	8.18381043466078	8.21620272230114	7.56668723957264	7.29109592024885	7.63614406324114
ADCY5	111	AC5|FDFM	adenylate cyclase 5	6.10913914310273	5.58038568454169	5.79057187505862	4.08728751668493	4.20144087137898	5.77466051707223	4.01322700891454	5.40420050308609	5.1287398810508	7.56668723957264	7.29109592024885	6.27074793977767
